Table 5. Space Economy Gross Output by Industry,,,,,,,,,,,,,
[Millions of current dollars],,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,
"Last updated: March 31, 2025",,,,,,,,,,,,,
,,,,,,,,,,,,,
 , ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
40,        Transportation and warehousing,"1,711","1,522","1,374","1,308","1,319","1,317","1,652","1,364","1,266","1,320","2,423","2,338"
41,            Air transportation,970,783,611,623,611,516,766,483,361,310,"1,084","1,199"
42,            Rail transportation,3,1,2,2,3,5,4,4,4,5,7,4
43,            Water transportation,1,1,1,1,2,0,1,2,2,2,0,0
44,            Truck transportation,710,717,745,670,676,774,859,827,862,974,"1,300","1,100"
45,            Transit and ground passenger transportation,0,0,0,0,0,0,0,1,0,0,0,1
46,            Pipeline transportation,0,0,0,0,1,2,2,2,1,1,1,1
47,            Other transportation and support activities,23,15,10,8,22,15,14,39,33,23,26,28
48,            Warehousing and storage,4,4,3,2,4,5,5,6,3,4,5,4
49,        Information,"57,497","60,674","63,157","64,999","63,461","62,747","59,553","59,519","56,217","52,770","52,106","51,054"
50,"            Publishing industries, except internet (includes software)",402,348,319,537,454,378,290,314,319,351,412,507
51,            Motion picture and sound recording industries,51,53,51,49,46,57,50,59,46,47,53,63
52,            Broadcasting and telecommunications4,"56,222","59,370","61,864","63,319","61,733","60,989","57,900","57,716","54,493","50,943","50,071","48,810"
53,"            Data processing, internet publishing, and other information services",822,903,922,"1,094","1,229","1,322","1,313","1,429","1,359","1,428","1,570","1,674"
54,"        Finance, insurance, real estate, rental, and leasing",436,265,212,318,377,312,245,207,151,167,348,369
55,            Finance and insurance,434,263,210,315,371,306,239,199,141,158,339,359
56,"                Federal Reserve banks, credit intermediation, and related activities",12,11,10,18,28,28,20,19,17,28,28,28
57,"                Securities, commodity contracts, and investments",5,6,7,8,12,40,10,9,11,13,14,15
58,                Insurance carriers and related activities,417,246,193,288,331,238,210,171,114,117,297,315
59,"                Funds, trusts, and other financial vehicles",1,0,0,0,0,0,0,0,0,0,0,0
60,            Real estate and rental and leasing,1,2,2,3,6,7,6,8,10,9,9,10
61,                Real estate,0,1,1,2,3,4,4,4,6,5,6,6
62,                    Housing,0,0,0,0,1,1,1,1,1,1,1,1
63,                    Other real estate,0,1,1,1,2,3,3,3,5,4,4,4
64,                Rental and leasing services and lessors of intangible assets,1,1,1,2,3,3,3,3,3,3,4,4
65,        Professional and business services,"10,642","11,185","11,304","12,005","11,867","12,568","11,834","12,535","11,388","13,067","17,006","17,193"
66,"            Professional, scientific, and technical services","10,418","10,929","11,087","11,722","11,451","12,176","11,506","12,177","11,074","12,741","16,631","16,764"
67,                Legal services,1,1,1,2,2,2,2,2,2,2,2,2
68,                Computer systems design and related services,723,515,575,678,710,"1,022",833,871,883,"1,165","1,336","1,205"
69,"                Miscellaneous professional, scientific, and technical services","9,693","10,413","10,511","11,042","10,739","11,153","10,671","11,304","10,189","11,573","15,293","15,557"
70,            Management of companies and enterprises,203,210,147,189,296,252,200,225,189,190,204,233
71,            Administrative and waste management services,21,45,70,94,119,140,129,132,126,137,171,196
72,                Administrative and support services,21,45,70,94,119,140,129,132,126,137,171,196
73,                Waste management and remediation services,0,0,0,0,0,0,0,0,0,0,0,0
74,"        Educational services, health care, and social assistance","2,153","2,129","2,100","2,209","2,196","2,175","2,575","2,787","3,006","3,074","3,831","4,806"
75,            Educational services,"2,059","2,031","2,016","2,111","2,090","2,063","2,444","2,678","2,950","2,953","3,462","4,675"
76,            Health care and social assistance,94,97,84,98,106,111,131,109,56,121,369,131
77,                Ambulatory health care services,2,2,2,3,4,4,4,4,3,4,5,4
78,                Hospitals,91,95,82,95,102,107,127,104,52,116,364,126
79,                Nursing and residential care facilities,0,0,0,0,0,0,0,0,0,0,0,0
80,                Social assistance,0,0,0,0,0,0,0,0,0,0,0,0
81,"        Arts, entertainment, recreation, accommodation, and food services",114,129,142,142,150,170,176,189,174,183,178,194
82,"            Arts, entertainment, and recreation",111,125,138,139,147,167,173,186,173,181,175,189
83,"                Performing arts, spectator sports, museums, and related activities",110,125,138,138,147,167,173,186,172,181,174,189
84,"                Amusements, gambling, and recreation industries",0,0,0,0,0,0,0,0,0,0,0,0
85,            Accommodation and food services,3,4,4,4,3,3,3,3,2,2,3,5
86,                Accommodation,3,4,4,4,3,3,3,3,2,2,3,5
87,                Food services and drinking places,0,0,0,0,0,0,0,0,0,0,0,0
88,"        Other services, except government",4,4,4,4,5,5,4,5,5,6,6,6
89,    Government5,"29,343","29,362","30,319","31,349","32,080","32,122","33,946","37,824","38,439","40,308","44,397","48,494"
90,        Federal,"26,743","26,894","27,861","28,840","29,618","29,730","31,205","34,771","35,065","36,836","40,205","43,561"
91,            General government,"26,740","26,891","27,858","28,837","29,615","29,727","31,202","34,767","35,062","36,826","40,202","43,558"
92,                National defense,"5,308","5,290","5,429","5,478","5,958","6,047","6,525","7,171","8,043","9,468","11,468","13,455"
93,                Nondefense,"21,432","21,602","22,429","23,360","23,657","23,680","24,677","27,596","27,019","27,358","28,734","30,103"
94,            Government enterprises,3,3,3,2,3,3,3,3,2,9,3,3
95,        State and local,"2,600","2,467","2,459","2,509","2,462","2,392","2,742","3,054","3,374","3,472","4,191","4,932"
96,            General government,"2,600","2,467","2,459","2,509","2,462","2,392","2,742","3,054","3,374","3,472","4,191","4,932"
97,            Government enterprises,0,0,0,0,0,0,0,0,0,0,0,0
,Addendum:,,,,,,,,,,,,
98,"Space economy excluding satellite television, satellite radio, and educational services6","144,575 ","147,523 ","148,349 ","154,343 ","155,575 ","158,839 ","163,131 ","170,712 ","166,528 ","175,500 ","197,043 ","204,884 "
"1. The space economy consists of space-related goods and services, both public and private. This includes goods and services that:",,,,,,,,,,,,,
"1. Are used or made in space, or directly support those used or made in space ",,,,,,,,,,,,,
"2. Require direct input from space to function, or directly support those that do, and",,,,,,,,,,,,,
3. Are associated with studying space.,,,,,,,,,,,,,
"2. Includes manufacturing of satellites; ground equipment; search, detection, navigation, and guidance systems (GPS/PNT equipment).",,,,,,,,,,,,,
3. Includes manufacturing of space vehicles and space weapons systems. ,,,,,,,,,,,,,
4. Includes direct-to-home satellite television services.,,,,,,,,,,,,,
"5. Includes spending on personnel, operations, and maintenance. Government spending on private sector investment (structures, equipment, intellectual property) is included within the individual industries.",,,,,,,,,,,,,
"6. This value represents a narrower interpretation of the ""space economy"" definition. These services are primarily produced by the Information (line 49) and Educational services, health care, and social assistance (line 74) sectors.",,,,,,,,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,,,,,,,
